,image_auroc,image_auroc,image_ap,image_ap,pixel_auroc,pixel_auroc,pixel_ap,pixel_ap,image_f1_conformal,image_f1_conformal,image_precision_conformal,image_precision_conformal,image_recall_conformal,image_recall_conformal,image_specificity_conformal,image_specificity_conformal,image_balanced_accuracy_conformal,image_balanced_accuracy_conformal,normal_fpr_conformal,normal_fpr_conformal,false_alarms_per_1000_normals,false_alarms_per_1000_normals
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,,,,,,,,,,,,,
calibrated_max,0.7915163064899413,0.1529671604333353,0.9000834993523702,0.08691374680292406,0.9457435139735574,0.04972335642785819,0.41217359583512303,0.20097080645978607,0.43317294205365736,0.35284535872610023,0.8802947537472251,0.25697432392474,0.35562409705469916,0.35346651359350784,0.9596415115522667,0.05117077475607257,0.657632804303483,0.15984028809998915,0.04035848844773329,0.05117077475607256,40.3584884477333,51.170774756072554
calibrated_min,0.7775014342917747,0.16171787536621124,0.8959095331132464,0.09374946000650455,0.8762338750472626,0.062783687557638,0.2989482816447312,0.1786577808338905,0.4476872591753151,0.3256970187643168,0.8479779329288445,0.27098933830071337,0.36571479862988077,0.33451652012270033,0.9118861237737165,0.15516329364467055,0.6388004612017987,0.15244796458590165,0.08811387622628343,0.15516329364467055,88.11387622628344,155.16329364467057
calibrated_product,0.7913947271003342,0.16312929629592893,0.899138365924971,0.09504663517018253,0.9113384075093348,0.05901923980685767,0.3606508321560428,0.18968814865974482,0.4884516102950228,0.3544123917077356,0.8424557359271773,0.30469914800808845,0.4137617593471213,0.3553989408056903,0.9056025315264445,0.156752200520183,0.6596821454367829,0.1656533738024023,0.09439746847355542,0.156752200520183,94.39746847355542,156.75220052018298
calibrated_weighted_sum,0.8458070756199666,0.1690347963083689,0.9271142269659712,0.08870539500032402,0.9521391684120651,0.03940390663912464,0.4520912243171726,0.2118245237705425,0.5222413481212385,0.36079926717480876,0.8844607133662606,0.2543391041480272,0.44159434865271696,0.3673296657855165,0.9655797079301293,0.040538444451598814,0.7035870282914232,0.17725075893851394,0.03442029206987068,0.040538444451598814,34.42029206987068,40.53844445159882
frequency_tail_gate,0.8574363594949393,0.17655410191777263,0.9331077863402122,0.09148505680173274,0.9501020258160426,0.040269403117462306,0.46096166362811236,0.21424649509650054,0.6135535908017374,0.343098462844927,0.8839651919740362,0.2643833534984473,0.5305006198717286,0.3540978744569047,0.9484674400910065,0.06985467475159324,0.7394840299813675,0.17765458922970828,0.05153255990899348,0.06985467475159324,51.532559908993484,69.85467475159324
no_upper_tail,0.8609183384493629,0.17439967022448874,0.9334874621791168,0.09311013409919405,0.9511716035469292,0.04019768959113792,0.47113259016364656,0.21646645370446346,0.6117724667890202,0.3466361267017818,0.886873633779181,0.26561860846864305,0.528321030203498,0.3573772734820834,0.9569878910336995,0.060199679821263966,0.7426544606185987,0.1810727641862783,0.04301210896630051,0.06019967982126396,43.01210896630052,60.19967982126396
proposed,0.8589317597482364,0.17669401030706597,0.9336777426694454,0.09168689445074983,0.9500373595696305,0.040371099378304694,0.4617741204026196,0.21363560409819735,0.6254918238731206,0.339393119897175,0.8840117486697904,0.26435421181244767,0.5420374497119996,0.3488546238478695,0.9455688893663688,0.07228917025973494,0.7438031695391842,0.1758769726111385,0.05443111063363116,0.07228917025973493,54.431110633631164,72.28917025973492
raw_weighted_sum,0.6867587505065162,0.14885016321130587,0.8510060922709054,0.0938949564784392,0.8184375358445356,0.10130920799826475,0.19874035184987165,0.12188387860964554,0.3057468108124592,0.2562670604422777,0.8455433397956763,0.26749926316139444,0.22618759955914763,0.24384849394012426,0.8975956772695903,0.2244609345966451,0.5618916384143691,0.08903360917182064,0.10240432273040968,0.2244609345966451,102.40432273040969,224.46093459664507
unbounded_agreement,0.8587807644677948,0.1766853099659051,0.9334522395413262,0.09167638870946387,0.9500477856529668,0.040384999456164576,0.4619634542513525,0.21390688943402078,0.6212866956679923,0.34245714305383773,0.8829006375586793,0.2642421579096426,0.5387041163786662,0.3518147603523634,0.9455688893663688,0.07228917025973494,0.7421365028725175,0.17715471273215794,0.05443111063363116,0.07228917025973493,54.431110633631164,72.28917025973492
