category,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact
bottle,0.9973544973544973,0.8492063492063492,0.9968253968253968,0.9978835978835979,0.9973544973544973,0.9960317460317459
cable,0.937656171914043,0.5766491754122939,0.7910419790104948,0.791416791604198,0.9377811094452774,0.8576961519240379
capsule,0.769844435580375,0.660018614545938,0.8194389044010105,0.820502592740327,0.7706422018348625,0.5903470283207021
carpet,0.9117174959871589,0.45425361155698235,0.9181380417335473,0.9192081326912788,0.9113162118780096,0.9764579989299089
grid,0.5600111389585074,0.3823447507658034,0.7137287663603452,0.7142857142857143,0.560289612921192,0.6248955722639933
hazelnut,0.994047619047619,0.6092857142857143,0.6141666666666666,0.6123809523809524,0.994047619047619,0.9995238095238094
leather,0.9967164855072465,0.7236186594202899,0.986526268115942,0.9872056159420289,0.9986413043478262,0.9998867753623188
metal_nut,0.9535679374389052,0.6383186705767351,0.8782991202346041,0.8734115347018573,0.9535679374389052,0.9666014988595634
pill,0.8687034006182942,0.5995635570103656,0.831514820876523,0.8307874158937988,0.8704309874522641,0.8720676486633935
screw,0.4546696727471476,0.694199631071941,0.5611805697888913,0.5630935300949649,0.45364487258317965,0.5736148117783699
tile,0.9474506974506974,0.8186628186628186,0.9713804713804715,0.9715007215007215,0.9468494468494469,0.9985569985569985
toothbrush,0.888888888888889,0.6638888888888889,0.7666666666666666,0.7657407407407407,0.888888888888889,0.8425925925925926
transistor,0.8959722222222223,0.8083333333333335,0.9405555555555556,0.9409722222222222,0.8961111111111112,0.9290277777777778
wood,0.9862573099415205,0.9347953216374268,0.9111111111111111,0.9122807017543858,0.9862573099415205,0.9640350877192981
zipper,0.8651960784313726,0.7798494397759104,0.9184173669467789,0.9179796918767508,0.8662464985994398,0.865983893557423
