,false_alarms_per_1000_normals,false_alarms_per_1000_normals,false_alarms_per_1000_normals,false_alarms_per_1000_normals,false_alarms_per_1000_normals,false_alarms_per_1000_normals,image_ap,image_ap,image_ap,image_ap,image_ap,image_ap,image_auroc,image_auroc,image_auroc,image_auroc,image_auroc,image_auroc,image_balanced_accuracy_conformal,image_balanced_accuracy_conformal,image_balanced_accuracy_conformal,image_balanced_accuracy_conformal,image_balanced_accuracy_conformal,image_balanced_accuracy_conformal,image_f1_conformal,image_f1_conformal,image_f1_conformal,image_f1_conformal,image_f1_conformal,image_f1_conformal,image_precision_conformal,image_precision_conformal,image_precision_conformal,image_precision_conformal,image_precision_conformal,image_precision_conformal,image_recall_conformal,image_recall_conformal,image_recall_conformal,image_recall_conformal,image_recall_conformal,image_recall_conformal,image_specificity_conformal,image_specificity_conformal,image_specificity_conformal,image_specificity_conformal,image_specificity_conformal,image_specificity_conformal,normal_fpr_conformal,normal_fpr_conformal,normal_fpr_conformal,normal_fpr_conformal,normal_fpr_conformal,normal_fpr_conformal,pixel_ap,pixel_ap,pixel_ap,pixel_ap,pixel_ap,pixel_ap,pixel_auroc,pixel_auroc,pixel_auroc,pixel_auroc,pixel_auroc,pixel_auroc
method,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact,freqpatch_lite,frequency_only,padim_diag,padim_freq_gate,patchcore_lite,patchcore_wr50_compact
category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle,16.666666666666668,50.0,0.0,0.0,16.666666666666668,16.666666666666668,0.9991713157930747,0.9267281234099043,0.9990321710355557,0.9993486837236837,0.9991713157930747,0.9988012671229595,0.9973544973544973,0.8492063492063492,0.9968253968253968,0.9978835978835979,0.9973544973544973,0.9960317460317459,0.9731481481481481,0.5861111111111111,0.9735449735449735,0.9761904761904763,0.9678571428571429,0.959920634920635,0.9782682233591324,0.35257375022080906,0.9727194699299698,0.9755646128645316,0.9724344849050731,0.9641721898231058,0.9947089947089948,0.9267676767676768,1.0,1.0,0.9947089947089948,0.9947089947089948,0.9629629629629629,0.2222222222222222,0.947089947089947,0.9523809523809524,0.9523809523809522,0.9365079365079364,0.9833333333333334,0.9499999999999998,1.0,1.0,0.9833333333333334,0.9833333333333334,0.016666666666666666,0.05000000000000001,0.0,0.0,0.016666666666666666,0.016666666666666666,0.732124246178597,0.3871546227567267,0.4617262923606306,0.46838324548996746,0.7246256130323276,0.7522012535969692,0.983410280785264,0.9117475285350807,0.958528911074528,0.9592290001452114,0.9830131155988697,0.9834023737356441
cable,17.241379310344826,34.48275862068966,34.48275862068965,34.48275862068965,17.241379310344826,57.47126436781608,0.9618450066387245,0.7025799312637675,0.813439335686299,0.813781169724348,0.9618640271050363,0.9188088408497072,0.937656171914043,0.5766491754122939,0.7910419790104948,0.791416791604198,0.9377811094452774,0.8576961519240379,0.7667416291854073,0.5244252873563219,0.5697151424287856,0.5660919540229885,0.7794227886056971,0.7466266866566716,0.7003881176294969,0.1440511307767945,0.2814141414141414,0.27086419753086416,0.7227473480179244,0.6936612812474882,0.9809139784946237,0.9047619047619048,0.8558201058201057,0.8511904761904763,0.982175925925926,0.9385357265873168,0.5507246376811594,0.08333333333333333,0.17391304347826086,0.16666666666666666,0.5760869565217391,0.5507246376811594,0.9827586206896551,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9827586206896551,0.9425287356321839,0.017241379310344827,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.017241379310344827,0.057471264367816084,0.6614016528844373,0.06452273926994816,0.3237729354327768,0.3239351517170435,0.6632329396156843,0.5331299332966087,0.974929211834576,0.6646979870401665,0.9451252463651435,0.9451249159630183,0.9749361641468116,0.9499868318455009
capsule,43.47826086956522,14.492753623188406,72.46376811594203,57.971014492753625,43.47826086956522,57.971014492753625,0.9328385789631373,0.8735958678916793,0.9342251056857135,0.9353124163201452,0.9335380161626925,0.8572289550102917,0.769844435580375,0.660018614545938,0.8194389044010105,0.820502592740327,0.7706422018348625,0.5903470283207021,0.5868235606967159,0.5034569871027789,0.5922084829145061,0.596396755750565,0.5883526126844835,0.5168860523866506,0.33990888072895414,0.041464430938115145,0.35029438001784124,0.35103675076111207,0.343119521710493,0.16286040536682844,0.9767441860465116,0.9333333333333332,0.9595588235294118,0.9656084656084656,0.9772727272727272,0.85,0.21712538226299696,0.02140672782874618,0.25688073394495414,0.2507645259938838,0.22018348623853212,0.09174311926605505,0.9565217391304347,0.9855072463768115,0.927536231884058,0.9420289855072465,0.9565217391304347,0.9420289855072465,0.043478260869565216,0.014492753623188406,0.07246376811594203,0.057971014492753624,0.043478260869565216,0.057971014492753624,0.3257435611890382,0.11056824328046372,0.17053324292649139,0.17319100829039857,0.32883992151389324,0.26761760610392876,0.9743697509108061,0.8662297766777307,0.9531664010941808,0.9532566832114545,0.974410580585578,0.9463369173735591
carpet,130.95238095238096,47.61904761904762,130.95238095238096,130.95238095238096,130.95238095238096,23.80952380952381,0.9723417083802026,0.7691990396823084,0.9755707375767054,0.9759756214762786,0.9721012614717986,0.993517596553878,0.9117174959871589,0.45425361155698235,0.9181380417335473,0.9192081326912788,0.9113162118780096,0.9764579989299089,0.8783440342429106,0.5248796147672552,0.8296548956661316,0.8296548956661316,0.8783440342429106,0.946896736222579,0.9202498059207761,0.1720071684587814,0.862092301618147,0.862092301618147,0.9202498059207761,0.9533017804823078,0.9562001306187353,0.894949494949495,0.9514859261694705,0.9514859261694705,0.9562001306187353,0.9921568627450981,0.8876404494382023,0.09737827715355805,0.7902621722846442,0.7902621722846442,0.8876404494382023,0.9176029962546816,0.8690476190476191,0.9523809523809524,0.8690476190476191,0.8690476190476191,0.8690476190476191,0.9761904761904763,0.13095238095238096,0.047619047619047616,0.13095238095238096,0.13095238095238096,0.13095238095238096,0.023809523809523808,0.6106531475561291,0.1498053353029558,0.36755334900770315,0.3706792756657828,0.604201066829155,0.47836332498321804,0.9817705542138458,0.7051878188790316,0.9791107492020594,0.97924158232875,0.9817283630425377,0.9829981563130844
grid,126.98412698412699,365.07936507936506,63.49206349206349,63.49206349206349,126.98412698412699,111.1111111111111,0.7694114756848996,0.6805867245680197,0.8630120135473088,0.8634381630962654,0.7701076605916107,0.8481329965297034,0.5600111389585074,0.3823447507658034,0.7137287663603452,0.7142857142857143,0.560289612921192,0.6248955722639933,0.5271512113617377,0.3964076858813701,0.6086048454469507,0.6086048454469507,0.5271512113617377,0.6315789473684211,0.2711592386731343,0.24330000868177296,0.43051051051051054,0.43051051051051054,0.2711592386731343,0.5275749815861482,0.8591269841269842,0.5361197110423116,0.9237472766884531,0.9237472766884531,0.8591269841269842,0.9015384615384615,0.1812865497076023,0.15789473684210525,0.2807017543859649,0.2807017543859649,0.1812865497076023,0.3742690058479532,0.873015873015873,0.6349206349206349,0.9365079365079364,0.9365079365079364,0.873015873015873,0.8888888888888888,0.12698412698412698,0.36507936507936506,0.06349206349206349,0.06349206349206349,0.12698412698412698,0.1111111111111111,0.05650824722209908,0.006486784939984064,0.07896207412826263,0.07899360031905843,0.05649577528181183,0.12597126885370794,0.8583072521363936,0.49199129729470004,0.8985961655007167,0.8985948073256091,0.8583068593496078,0.8938856564098977
hazelnut,16.666666666666668,58.333333333333336,91.66666666666667,91.66666666666667,16.666666666666668,0.0,0.9965623746653295,0.6824944661113381,0.7272056111442677,0.7230153586465663,0.9965623746653295,0.9997258625842663,0.994047619047619,0.6092857142857143,0.6141666666666666,0.6123809523809524,0.994047619047619,0.9995238095238094,0.9369047619047618,0.4994047619047619,0.5232142857142857,0.5232142857142857,0.9369047619047618,0.9857142857142858,0.9369922847695635,0.10020061239573434,0.22036265139713415,0.22036265139713415,0.9369922847695635,0.9852562394528821,0.989247311827957,0.43253968253968256,0.8067226890756304,0.8067226890756304,0.989247311827957,1.0,0.8904761904761904,0.05714285714285714,0.13809523809523808,0.13809523809523808,0.8904761904761904,0.9714285714285715,0.9833333333333334,0.9416666666666668,0.9083333333333333,0.9083333333333333,0.9833333333333334,1.0,0.016666666666666666,0.05833333333333333,0.09166666666666667,0.09166666666666667,0.016666666666666666,0.0,0.5085974989665699,0.26361049404392484,0.21635192212966756,0.2163304117862063,0.5054005419329152,0.4946087520601093,0.9787527539218618,0.9426243768697348,0.9370938780937778,0.9370934617432397,0.9787267107913736,0.9802263270040997
leather,41.666666666666664,937.5,31.25,41.666666666666664,31.25,10.416666666666666,0.9988398209533491,0.9016388237408243,0.9954154948033219,0.9956441007777338,0.9995243044550227,0.9999610409848838,0.9967164855072465,0.7236186594202899,0.986526268115942,0.9872056159420289,0.9986413043478262,0.9998867753623188,0.9755434782608695,0.4986413043478261,0.9354619565217391,0.9338768115942028,0.9771286231884058,0.9802989130434782,0.9891693937977247,0.8264636608843979,0.9431781701444623,0.9453817354357076,0.9872692364495643,0.9833833833833833,0.9856614246068455,0.7419184108327319,0.9882319977584757,0.9844940274960559,0.9890897632833117,0.996415770609319,0.9927536231884058,0.9347826086956522,0.9021739130434782,0.9094202898550724,0.9855072463768115,0.9710144927536232,0.9583333333333334,0.0625,0.96875,0.9583333333333334,0.96875,0.9895833333333334,0.041666666666666664,0.9375,0.03125,0.041666666666666664,0.03125,0.010416666666666666,0.45557845846239103,0.2136192081090064,0.17302348022392267,0.18366733046606032,0.4367389196730744,0.4005851456928673,0.9926096013980462,0.7562469531722545,0.9761810342346049,0.9769078822138354,0.9922408789681906,0.9926103504910714
metal_nut,0.0,106.06060606060606,60.6060606060606,75.75757575757575,0.0,15.15151515151515,0.9899617331376166,0.9025722260049163,0.9647469676247334,0.9625733074907171,0.9899617331376166,0.9925364093331016,0.9535679374389052,0.6383186705767351,0.8782991202346041,0.8734115347018573,0.9535679374389052,0.9666014988595634,0.8405017921146953,0.6458944281524927,0.6686217008797654,0.6610459433040078,0.8405017921146953,0.9261159986966438,0.8052121354841241,0.5584333653089972,0.5383157698868793,0.5368004877151339,0.8052121354841241,0.9272014199341286,1.0,0.9430930930930931,0.9707264957264957,0.9582178690874343,1.0,0.9959349593495935,0.6810035842293907,0.39784946236559143,0.3978494623655913,0.39784946236559143,0.6810035842293907,0.8673835125448028,1.0,0.8939393939393939,0.9393939393939394,0.9242424242424243,1.0,0.9848484848484849,0.0,0.10606060606060606,0.06060606060606061,0.07575757575757576,0.0,0.015151515151515152,0.7554865992577705,0.1775511643199236,0.4361374622175884,0.43590474905506144,0.7556050986445061,0.7116892589867668,0.9583873132454213,0.6078720300959138,0.8975487863275626,0.8975380623420369,0.9583955457157404,0.9466632621907404
