category,historical_role,metric,gate_minus_patchcore
bottle,development,image_auroc,0.0
bottle,development,pixel_auroc,0.0003971651863943215
bottle,development,pixel_ap,0.007498633146269307
cable,held_out_confirmation,image_auroc,-0.00012493753123432594
cable,held_out_confirmation,pixel_auroc,-6.952312235575242e-06
cable,held_out_confirmation,pixel_ap,-0.001831286731246995
capsule,development,image_auroc,-0.0007977662544875752
capsule,development,pixel_auroc,-4.0829674771813984e-05
capsule,development,pixel_ap,-0.003096360324855052
carpet,held_out_confirmation,image_auroc,0.00040128410914930246
carpet,held_out_confirmation,pixel_auroc,4.219117130810357e-05
carpet,held_out_confirmation,pixel_ap,0.006452080726974119
grid,development,image_auroc,-0.0002784739626845445
grid,development,pixel_auroc,3.927867857633771e-07
grid,development,pixel_ap,1.2471940287250849e-05
hazelnut,held_out_confirmation,image_auroc,0.0
hazelnut,held_out_confirmation,pixel_auroc,2.6043130488151434e-05
hazelnut,held_out_confirmation,pixel_ap,0.003196957033654746
leather,development,image_auroc,-0.0019248188405797118
leather,development,pixel_auroc,0.0003687224298556391
leather,development,pixel_ap,0.018839538789316657
metal_nut,held_out_confirmation,image_auroc,0.0
metal_nut,held_out_confirmation,pixel_auroc,-8.232470319113894e-06
metal_nut,held_out_confirmation,pixel_ap,-0.00011849938673558214
pill,development,image_auroc,-0.0017275868339698963
pill,development,pixel_auroc,7.055943494715944e-05
pill,development,pixel_ap,0.0047092553871297405
screw,held_out_confirmation,image_auroc,0.0010248001639679427
screw,held_out_confirmation,pixel_auroc,9.519237081923038e-07
screw,held_out_confirmation,pixel_ap,3.090217262392836e-06
tile,development,image_auroc,0.0006012506012504915
tile,development,pixel_auroc,1.0623421577315995e-05
tile,development,pixel_ap,2.1973049463330785e-05
toothbrush,held_out_confirmation,image_auroc,0.0
toothbrush,held_out_confirmation,pixel_auroc,-0.00023736542783781012
toothbrush,held_out_confirmation,pixel_ap,-0.022466351732093826
transistor,held_out_confirmation,image_auroc,-0.0001388888888889106
transistor,held_out_confirmation,pixel_auroc,-6.929211652018097e-06
transistor,held_out_confirmation,pixel_ap,-0.00017075362291502083
wood,held_out_confirmation,image_auroc,0.0
wood,held_out_confirmation,pixel_auroc,0.00020225626125791596
wood,held_out_confirmation,pixel_ap,0.003521634794434847
zipper,held_out_confirmation,image_auroc,-0.0010504201680672232
zipper,held_out_confirmation,pixel_auroc,-2.0973047012984303e-05
zipper,held_out_confirmation,pixel_ap,-0.003303494872512691
