requested_fit_images,category,fit_images,branch_calibration_images,threshold_calibration_images,total_normal_images
16,bottle,16.0,31.0,31.0,78.0
16,cable,16.0,34.0,34.0,84.0
16,capsule,16.0,33.0,33.0,82.0
16,carpet,16.0,42.0,42.0,100.0
16,grid,16.0,40.0,40.0,96.0
16,hazelnut,16.0,59.0,59.0,134.0
16,leather,16.0,37.0,37.0,90.0
16,metal_nut,16.0,33.0,33.0,82.0
16,pill,16.0,40.0,40.0,96.0
16,screw,16.0,48.0,48.0,112.0
16,tile,16.0,34.0,34.0,84.0
16,toothbrush,16.0,9.0,9.0,34.0
16,transistor,16.0,32.0,32.0,80.0
16,wood,16.0,37.0,37.0,90.0
16,zipper,16.0,36.0,36.0,88.0
32,bottle,32.0,31.0,31.0,94.0
32,cable,32.0,34.0,34.0,100.0
32,capsule,32.0,33.0,33.0,98.0
32,carpet,32.0,42.0,42.0,116.0
32,grid,32.0,40.0,40.0,112.0
32,hazelnut,32.0,59.0,59.0,150.0
32,leather,32.0,37.0,37.0,106.0
32,metal_nut,32.0,33.0,33.0,98.0
32,pill,32.0,40.0,40.0,112.0
32,screw,32.0,48.0,48.0,128.0
32,tile,32.0,34.0,34.0,100.0
32,toothbrush,32.0,9.0,9.0,50.0
32,transistor,32.0,32.0,32.0,96.0
32,wood,32.0,37.0,37.0,106.0
32,zipper,32.0,36.0,36.0,104.0
64,bottle,64.0,31.0,31.0,126.0
64,cable,64.0,34.0,34.0,132.0
64,capsule,64.0,33.0,33.0,130.0
64,carpet,64.0,42.0,42.0,148.0
64,grid,64.0,40.0,40.0,144.0
64,hazelnut,64.0,59.0,59.0,182.0
64,leather,64.0,37.0,37.0,138.0
64,metal_nut,64.0,33.0,33.0,130.0
64,pill,64.0,40.0,40.0,144.0
64,screw,64.0,48.0,48.0,160.0
64,tile,64.0,34.0,34.0,132.0
64,toothbrush,42.0,9.0,9.0,60.0
64,transistor,64.0,32.0,32.0,128.0
64,wood,64.0,37.0,37.0,138.0
64,zipper,64.0,36.0,36.0,136.0
128,bottle,128.0,31.0,31.0,190.0
128,cable,128.0,34.0,34.0,196.0
128,capsule,128.0,33.0,33.0,194.0
128,carpet,128.0,42.0,42.0,212.0
128,grid,128.0,40.0,40.0,208.0
128,hazelnut,128.0,59.0,59.0,246.0
128,leather,128.0,37.0,37.0,202.0
128,metal_nut,128.0,33.0,33.0,194.0
128,pill,128.0,40.0,40.0,208.0
128,screw,128.0,48.0,48.0,224.0
128,tile,128.0,34.0,34.0,196.0
128,toothbrush,42.0,9.0,9.0,60.0
128,transistor,128.0,32.0,32.0,192.0
128,wood,128.0,37.0,37.0,202.0
128,zipper,128.0,36.0,36.0,200.0
