experiment,category,seed,method,fit_images,branch_calibration_images,threshold_calibration_images,total_normal_images,fit_and_score_seconds,rss_mb,memory_vectors,memory_bytes,patchcore_scoring_seconds,branch_upper_quantile,image_auroc,image_ap,pixel_auroc,pixel_ap,threshold,threshold_alpha,threshold_calibration_count,threshold_conformal_rank,threshold_is_finite,threshold_min_attainable_alpha,image_f1_conformal,image_f1_normal95,image_precision_conformal,image_recall_conformal,image_specificity_conformal,image_balanced_accuracy_conformal,normal_fpr_conformal,false_alarms_per_1000_normals,test_true_positive,test_false_positive,test_true_negative,test_false_negative,weight,normal_budget,upper_quantile,branch_calibration_fraction,translation_px,brightness,descriptor_channels,condition,translation_dx,translation_dy,border_mode,registration_dx,registration_dy,interior_image_auroc,interior_image_ap,interior_normal_fpr,interior_recall,valid_pixel_fraction,normal_budget_requested,normal_budget_achieved,allocation_strategy,priority_target,priority_achieved
main,bottle,20260714,freqpatch_lite,147.0,31.0,31.0,209.0,0.4975405410223175,962.078125,1800,691200,0.33916241698898375,0.995,0.9968253968253967,0.9990036304936458,0.9833797568497438,0.7332486382640008,2.945845365524292,0.05,31.0,31.0,True,0.03125,0.9586776859504132,0.9586776859504132,1.0,0.9206349206349206,1.0,0.9603174603174602,0.0,0.0,58,0,20,5,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260714,frequency_only,147.0,31.0,31.0,209.0,0.4975405410223175,868.40625,1800,691200,0.33916241698898375,0.995,0.8492063492063492,0.927191927337824,0.911459048745661,0.3866667698692169,124.72145080566406,0.05,31.0,31.0,True,0.03125,0.29333333333333333,0.29333333333333333,0.9166666666666666,0.1746031746031746,0.95,0.5623015873015873,0.05,50.0,11,1,19,52,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260714,padim_diag,147.0,31.0,31.0,209.0,0.4975405410223175,939.234375,1800,691200,0.33916241698898375,0.995,0.9984126984126984,0.9995000314940792,0.9578971484443499,0.45018534492089296,3.0903806686401367,0.05,31.0,31.0,True,0.03125,0.9838709677419355,0.9838709677419355,1.0,0.9682539682539683,1.0,0.9841269841269842,0.0,0.0,61,0,20,2,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260714,padim_freq_gate,147.0,31.0,31.0,209.0,0.4975405410223175,967.9375,1800,691200,0.33916241698898375,0.995,0.9992063492063492,0.9997519841269842,0.9585481934187536,0.45690643143070603,3.0903806686401367,0.05,31.0,31.0,True,0.03125,0.9838709677419355,0.9838709677419355,1.0,0.9682539682539683,1.0,0.9841269841269842,0.0,0.0,61,0,20,2,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260714,patchcore_lite,147.0,31.0,31.0,209.0,0.4975405410223175,941.359375,1800,691200,0.33916241698898375,0.995,0.9968253968253967,0.9990036304936458,0.9829868544864498,0.7257191208002342,2.945845365524292,0.05,31.0,31.0,True,0.03125,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,0.9444444444444444,0.0,0.0,56,0,20,7,,,,,,,,,,,,,,,,,,,,,,,
strong_baseline,bottle,20260714,patchcore_wr50_compact,147.0,31.0,31.0,,0.659249333984917,,1800,1843200,,,0.9960317460317459,0.9988004046284075,0.9836572015536896,0.7533031200115929,2.402500629425049,0.05,31.0,31.0,True,0.03125,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,0.9444444444444444,0.0,0.0,56,0,20,7,,,,,,,256.0,,,,,,,,,,,,,,,,
main,bottle,20260715,freqpatch_lite,147.0,31.0,31.0,209.0,0.09883562498725951,1059.0,1800,691200,0.07720633299322799,0.995,0.9952380952380953,0.9985103168855781,0.9834720798372284,0.7333210491441354,1.7272136211395264,0.05,31.0,31.0,True,0.03125,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.95,0.967063492063492,0.05,50.0,62,1,19,1,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260715,frequency_only,147.0,31.0,31.0,209.0,0.09883562498725951,973.140625,1800,691200,0.07720633299322799,0.995,0.8492063492063492,0.9267756264346376,0.911834939456778,0.38530961158608423,31.835275650024414,0.05,31.0,31.0,True,0.03125,0.49411764705882355,0.49411764705882355,0.9545454545454546,0.3333333333333333,0.95,0.6416666666666666,0.05,50.0,21,1,19,42,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260715,padim_diag,147.0,31.0,31.0,209.0,0.09883562498725951,1044.578125,1800,691200,0.07720633299322799,0.995,0.9952380952380951,0.9985809138470203,0.9591148279429696,0.46912125920039455,7.051752090454102,0.05,31.0,31.0,True,0.03125,0.975609756097561,0.975609756097561,1.0,0.9523809523809523,1.0,0.9761904761904762,0.0,0.0,60,0,20,3,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260715,padim_freq_gate,147.0,31.0,31.0,209.0,0.09883562498725951,1061.546875,1800,691200,0.07720633299322799,0.995,0.9976190476190475,0.9992784992784992,0.9598956262748011,0.4762408031650035,7.051752090454102,0.05,31.0,31.0,True,0.03125,0.975609756097561,0.975609756097561,1.0,0.9523809523809523,1.0,0.9761904761904762,0.0,0.0,60,0,20,3,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260715,patchcore_lite,147.0,31.0,31.0,209.0,0.09883562498725951,1047.328125,1800,691200,0.07720633299322799,0.995,0.9952380952380953,0.9985103168855781,0.9830506179286528,0.7253473288874891,1.7272136211395264,0.05,31.0,31.0,True,0.03125,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.95,0.967063492063492,0.05,50.0,62,1,19,1,,,,,,,,,,,,,,,,,,,,,,,
strong_baseline,bottle,20260715,patchcore_wr50_compact,147.0,31.0,31.0,,0.5824817089887802,,1800,1843200,,,0.9944444444444444,0.9983248974619716,0.983369111304762,0.7547823156130505,1.7886767387390137,0.05,31.0,31.0,True,0.03125,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.95,0.967063492063492,0.05,50.0,62,1,19,1,,,,,,,256.0,,,,,,,,,,,,,,,,
main,bottle,20260716,freqpatch_lite,147.0,31.0,31.0,209.0,0.09869924999657087,1103.90625,1800,691200,0.07756224999320693,0.995,1.0,1.0,0.98337900566882,0.7298030511276548,1.5663776397705078,0.05,31.0,31.0,True,0.03125,0.992,0.992,1.0,0.9841269841269841,1.0,0.9920634920634921,0.0,0.0,62,0,20,1,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260716,frequency_only,147.0,31.0,31.0,209.0,0.09869924999657087,1062.3125,1800,691200,0.07756224999320693,0.995,0.8492063492063492,0.9262168164572511,0.9119485974028033,0.3894874868148789,241.02041625976562,0.05,31.0,31.0,True,0.03125,0.2702702702702703,0.2702702702702703,0.9090909090909091,0.15873015873015872,0.95,0.5543650793650794,0.05,50.0,10,1,19,53,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260716,padim_diag,147.0,31.0,31.0,209.0,0.09869924999657087,1062.6875,1800,691200,0.07756224999320693,0.995,0.9968253968253967,0.9990155677655678,0.9585747568362643,0.4658722729606042,8.780176162719727,0.05,31.0,31.0,True,0.03125,0.9586776859504132,0.9586776859504132,1.0,0.9206349206349206,1.0,0.9603174603174602,0.0,0.0,58,0,20,5,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260716,padim_freq_gate,147.0,31.0,31.0,209.0,0.09869924999657087,1106.359375,1800,691200,0.07756224999320693,0.995,0.9968253968253967,0.9990155677655678,0.9592431807420795,0.4720025018741928,9.153335571289062,0.05,31.0,31.0,True,0.03125,0.9672131147540983,0.9672131147540983,1.0,0.9365079365079365,1.0,0.9682539682539683,0.0,0.0,59,0,20,4,,,,,,,,,,,,,,,,,,,,,,,
main,bottle,20260716,patchcore_lite,147.0,31.0,31.0,209.0,0.09869924999657087,1083.28125,1800,691200,0.07756224999320693,0.995,1.0,1.0,0.9830018743815063,0.7228103894092597,1.5663776397705078,0.05,31.0,31.0,True,0.03125,0.992,0.992,1.0,0.9841269841269841,1.0,0.9920634920634921,0.0,0.0,62,0,20,1,,,,,,,,,,,,,,,,,,,,,,,
strong_baseline,bottle,20260716,patchcore_wr50_compact,147.0,31.0,31.0,,0.5697889589937404,,1800,1843200,,,0.9976190476190475,0.9992784992784992,0.9831808083484809,0.7485183251662645,2.0053093433380127,0.05,31.0,31.0,True,0.03125,0.9672131147540983,0.9672131147540983,1.0,0.9365079365079365,1.0,0.9682539682539683,0.0,0.0,59,0,20,4,,,,,,,256.0,,,,,,,,,,,,,,,,
main,cable,20260714,freqpatch_lite,156.0,34.0,34.0,224.0,0.14963212501606904,1823.28125,1800,691200,0.11598204201436602,0.995,0.9139805097451275,0.9438870237251171,0.9744590945267015,0.6541774463437363,1.9221819639205933,0.05,34.0,34.0,True,0.02857142857142857,0.5909090909090909,0.5909090909090909,0.975,0.42391304347826086,0.9827586206896551,0.703335832083958,0.017241379310344827,17.241379310344826,39,1,57,53,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260714,frequency_only,156.0,34.0,34.0,224.0,0.14963212501606904,1823.453125,1800,691200,0.11598204201436602,0.995,0.5976386806596702,0.7270818409808383,0.660014055661093,0.0637632689963224,2.706336498260498,0.05,34.0,34.0,True,0.02857142857142857,0.08333333333333333,0.08333333333333333,1.0,0.043478260869565216,1.0,0.5217391304347826,0.0,0.0,4,0,58,88,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260714,padim_diag,156.0,34.0,34.0,224.0,0.14963212501606904,1823.484375,1800,691200,0.11598204201436602,0.995,0.8037856071964018,0.8279659606813843,0.9448760804774987,0.3257010165155775,7.106760501861572,0.05,34.0,34.0,True,0.02857142857142857,0.2909090909090909,0.2909090909090909,0.8888888888888888,0.17391304347826086,0.9655172413793104,0.5697151424287856,0.034482758620689655,34.48275862068965,16,2,56,76,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260714,padim_freq_gate,156.0,34.0,34.0,224.0,0.14963212501606904,1823.484375,1800,691200,0.11598204201436602,0.995,0.8045352323838081,0.8284836051568292,0.9448780854085478,0.3259148789102647,7.660097599029541,0.05,34.0,34.0,True,0.02857142857142857,0.25925925925925924,0.25925925925925924,0.875,0.15217391304347827,0.9655172413793104,0.5588455772113943,0.034482758620689655,34.48275862068965,14,2,56,78,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260714,patchcore_lite,156.0,34.0,34.0,224.0,0.14963212501606904,1823.28125,1800,691200,0.11598204201436602,0.995,0.9145427286356822,0.9441386935032148,0.9744684570079588,0.656341935958442,1.81382155418396,0.05,34.0,34.0,True,0.02857142857142857,0.6423357664233577,0.6423357664233577,0.9777777777777777,0.4782608695652174,0.9827586206896551,0.7305097451274363,0.017241379310344827,17.241379310344826,44,1,57,48,,,,,,,,,,,,,,,,,,,,,,,
strong_baseline,cable,20260714,patchcore_wr50_compact,156.0,34.0,34.0,,1.3771299999789335,,1800,1843200,,,0.8474512743628185,0.9111556192020516,0.9501581296335007,0.5349023399247637,2.006100654602051,0.05,34.0,34.0,True,0.02857142857142857,0.6896551724137931,0.6896551724137931,0.9433962264150944,0.5434782608695652,0.9482758620689655,0.7458770614692654,0.05172413793103448,51.724137931034484,50,3,55,42,,,,,,,256.0,,,,,,,,,,,,,,,,
main,cable,20260715,freqpatch_lite,156.0,34.0,34.0,224.0,0.14826974997413345,1827.859375,1800,691200,0.11833074997412041,0.995,0.9370314842578712,0.9631288347415405,0.9746807848152672,0.6576729903344106,1.5191491842269897,0.05,34.0,34.0,True,0.02857142857142857,0.7792207792207793,0.7792207792207793,0.967741935483871,0.6521739130434783,0.9655172413793104,0.8088455772113943,0.034482758620689655,34.48275862068965,60,2,56,32,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260715,frequency_only,156.0,34.0,34.0,224.0,0.14826974997413345,1828.09375,1800,691200,0.11833074997412041,0.995,0.5699025487256373,0.6920682561089596,0.6635749803684456,0.06469785442347745,1.8149036169052124,0.05,34.0,34.0,True,0.02857142857142857,0.26548672566371684,0.26548672566371684,0.7142857142857143,0.16304347826086957,0.896551724137931,0.5297976011994003,0.10344827586206896,103.44827586206897,15,6,52,77,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260715,padim_diag,156.0,34.0,34.0,224.0,0.14826974997413345,1827.765625,1800,691200,0.11833074997412041,0.995,0.7863568215892054,0.8138581908734372,0.9449617262326965,0.3237639116375876,4.46964693069458,0.05,34.0,34.0,True,0.02857142857142857,0.43333333333333335,0.43333333333333335,0.9285714285714286,0.2826086956521739,0.9655172413793104,0.6240629685157422,0.034482758620689655,34.48275862068965,26,2,56,66,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260715,padim_freq_gate,156.0,34.0,34.0,224.0,0.14826974997413345,1827.890625,1800,691200,0.11833074997412041,0.995,0.7863568215892054,0.813932369562056,0.9449611676115093,0.3239304403568988,4.46964693069458,0.05,34.0,34.0,True,0.02857142857142857,0.43333333333333335,0.43333333333333335,0.9285714285714286,0.2826086956521739,0.9655172413793104,0.6240629685157422,0.034482758620689655,34.48275862068965,26,2,56,66,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260715,patchcore_lite,156.0,34.0,34.0,224.0,0.14826974997413345,1827.859375,1800,691200,0.11833074997412041,0.995,0.9368440779610194,0.962934226362378,0.9746879374053918,0.6594896422245817,1.4849339723587036,0.05,34.0,34.0,True,0.02857142857142857,0.7948717948717948,0.7948717948717948,0.96875,0.6739130434782609,0.9655172413793104,0.8197151424287856,0.034482758620689655,34.48275862068965,62,2,56,30,,,,,,,,,,,,,,,,,,,,,,,
strong_baseline,cable,20260715,patchcore_wr50_compact,156.0,34.0,34.0,,1.2315643329930026,,1800,1843200,,,0.8646926536731634,0.9242009002307482,0.9497646035527507,0.5320184021057159,1.8764814138412476,0.05,34.0,34.0,True,0.02857142857142857,0.72,0.72,0.9310344827586207,0.5869565217391305,0.9310344827586207,0.7589955022488756,0.06896551724137931,68.9655172413793,54,4,54,38,,,,,,,256.0,,,,,,,,,,,,,,,,
main,cable,20260716,freqpatch_lite,156.0,34.0,34.0,224.0,0.14971904197591357,1765.765625,1800,691200,0.11958891697577201,0.995,0.9619565217391304,0.9785191614495161,0.9756477561617591,0.6723545219751649,1.6365230083465576,0.05,34.0,34.0,True,0.02857142857142857,0.7310344827586207,0.7310344827586207,1.0,0.5760869565217391,1.0,0.7880434782608696,0.0,0.0,53,0,58,39,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260716,frequency_only,156.0,34.0,34.0,224.0,0.14971904197591357,1753.96875,1800,691200,0.11958891697577201,0.995,0.5624062968515742,0.6885896967015046,0.6705049250909608,0.06510709439004461,2.2538275718688965,0.05,34.0,34.0,True,0.02857142857142857,0.08333333333333333,0.08333333333333333,1.0,0.043478260869565216,1.0,0.5217391304347826,0.0,0.0,4,0,58,88,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260716,padim_diag,156.0,34.0,34.0,224.0,0.14971904197591357,1761.390625,1800,691200,0.11958891697577201,0.995,0.7829835082458771,0.7984938555040757,0.9455379323852355,0.3218538781451653,11.695799827575684,0.05,34.0,34.0,True,0.02857142857142857,0.12,0.12,0.75,0.06521739130434782,0.9655172413793104,0.5153673163418291,0.034482758620689655,34.48275862068965,6,2,56,86,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260716,padim_freq_gate,156.0,34.0,34.0,224.0,0.14971904197591357,1765.765625,1800,691200,0.11958891697577201,0.995,0.7833583208395802,0.7989275344541591,0.9455354948689978,0.321960135883967,11.695799827575684,0.05,34.0,34.0,True,0.02857142857142857,0.12,0.12,0.75,0.06521739130434782,0.9655172413793104,0.5153673163418291,0.034482758620689655,34.48275862068965,6,2,56,86,,,,,,,,,,,,,,,,,,,,,,,
main,cable,20260716,patchcore_lite,156.0,34.0,34.0,224.0,0.14971904197591357,1765.765625,1800,691200,0.11958891697577201,0.995,0.9619565217391304,0.9785191614495161,0.9756520980270842,0.673867240664029,1.6365230083465576,0.05,34.0,34.0,True,0.02857142857142857,0.7310344827586207,0.7310344827586207,1.0,0.5760869565217391,1.0,0.7880434782608696,0.0,0.0,53,0,58,39,,,,,,,,,,,,,,,,,,,,,,,
strong_baseline,cable,20260716,patchcore_wr50_compact,156.0,34.0,34.0,,1.218663709005341,,1800,1843200,,,0.860944527736132,0.9210700031163216,0.9500377623502514,0.5324690578593465,1.9319849014282227,0.05,34.0,34.0,True,0.02857142857142857,0.6713286713286714,0.6713286713286714,0.9411764705882353,0.5217391304347826,0.9482758620689655,0.735007496251874,0.05172413793103448,51.724137931034484,48,3,55,44,,,,,,,256.0,,,,,,,,,,,,,,,,
