,image_auroc,image_auroc,image_ap,image_ap,pixel_auroc,pixel_auroc,pixel_ap,pixel_ap,image_f1_conformal,image_f1_conformal,image_precision_conformal,image_precision_conformal,image_recall_conformal,image_recall_conformal,image_specificity_conformal,image_specificity_conformal,image_balanced_accuracy_conformal,image_balanced_accuracy_conformal,normal_fpr_conformal,normal_fpr_conformal,false_alarms_per_1000_normals,false_alarms_per_1000_normals
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,,,,,,,,,,,,,
calibrated_max,0.8019857056759856,0.13548582115182609,0.9042830733008547,0.07905704901985902,0.9448284499032497,0.051716988304968986,0.41503868226626417,0.1966176685268445,0.46926480825316214,0.3401651338423514,0.8560349899922314,0.2842583764780433,0.38886785011163105,0.34164647051173447,0.940276464645437,0.09002558789710179,0.664572157378534,0.15497657805232745,0.0597235353545629,0.09002558789710176,59.723535354562905,90.02558789710174
calibrated_min,0.773850531352856,0.16125319201188734,0.8955680373919233,0.09073452456382007,0.8762390109178322,0.059092007121151834,0.297780244185973,0.17329530917613292,0.46866725409020943,0.31215485579236557,0.8305539150001349,0.2745614414990745,0.3863278848129198,0.3277005767149824,0.8879069293203625,0.21694345462418682,0.6371174070666412,0.15107877824347357,0.11209307067963746,0.21694345462418682,112.09307067963748,216.94345462418678
calibrated_product,0.7916673866322139,0.15813003447511476,0.8998846074819125,0.09196892476285698,0.9116458490910715,0.0561814307515727,0.36098758440218864,0.18526456806471883,0.49945917706421583,0.3248251310401697,0.8460171348278763,0.27096170431215766,0.4221412039872298,0.33807976462382905,0.8772776767827654,0.20917964862070587,0.6497094403849976,0.15129115662623674,0.12272232321723461,0.20917964862070587,122.7223232172346,209.17964862070588
calibrated_weighted_sum,0.856370190733984,0.15113749459087125,0.932404829424313,0.08032652497290271,0.9516955373425585,0.03995466253739974,0.4536328171806515,0.20577522926987638,0.5637211515257005,0.3440807185503911,0.8858561137132901,0.2515730459491962,0.48272987815754365,0.3543564878975228,0.9485696744780321,0.06622262462687042,0.7156497763177878,0.16943920312269992,0.05143032552196792,0.06622262462687042,51.43032552196792,66.22262462687043
frequency_tail_gate,0.86750149922148,0.15784352264864393,0.9386153535867658,0.08178556545530984,0.9498499786001471,0.04029205149624848,0.4616941354822275,0.20875010810486008,0.6391482918962359,0.3339055245653076,0.8892425177205939,0.2525004061333736,0.5618231127042106,0.3488373006330857,0.9447373096085597,0.07079978472877155,0.7532802111563852,0.17219487386368226,0.055262690391440196,0.07079978472877155,55.2626903914402,70.79978472877157
no_upper_tail,0.8697827061197264,0.15566625902595452,0.9384399727303301,0.08355829651494948,0.9509043015296271,0.040226941968122605,0.47174253622071305,0.21059545408551245,0.6391642318895804,0.3359792084725027,0.8839387919141573,0.2566163185436102,0.563652173504278,0.3526475395775624,0.9414413424981624,0.07409443095619798,0.7525467580012203,0.17454061535857676,0.05855865750183755,0.07409443095619798,58.55865750183755,74.09443095619798
proposed,0.8685369368058997,0.15790587337605205,0.9390405721235727,0.08193639332076454,0.9497871157412643,0.04038318351050824,0.4624289778703819,0.208255942746367,0.6454352904234533,0.33303442278080286,0.873522880831562,0.2646891422207074,0.5688767083542094,0.34697180522771937,0.9423167448232018,0.07076870847305262,0.7555967265887056,0.17247866035016152,0.0576832551767982,0.07076870847305262,57.6832551767982,70.76870847305261
raw_weighted_sum,0.6845682308592633,0.14555765293333991,0.8492169032001955,0.09427863919835035,0.8184508602783045,0.09831122384538597,0.19866849842758816,0.1195180840880687,0.3110046949173195,0.2507096649072991,0.8129457737674806,0.29494035680133757,0.23304902153275625,0.24948626178645633,0.885826197563591,0.24318692305213954,0.5594376095481737,0.0862854748698373,0.11417380243640894,0.24318692305213951,114.17380243640893,243.1869230521394
unbounded_agreement,0.8683678326338389,0.15788255158064537,0.9388449193207014,0.08196182254045968,0.9497961633954017,0.040393939808666464,0.4624868290601324,0.20851252252135524,0.6442263522144634,0.3342057649653137,0.8744011430600352,0.26511245422244695,0.5677947341933868,0.3481529949998618,0.9426871151935722,0.07103137413540457,0.7552409246934795,0.1729220688103313,0.05731288480642783,0.07103137413540456,57.31288480642783,71.03137413540455
