experiment,category,seed,method,fit_images,branch_calibration_images,threshold_calibration_images,total_normal_images,fit_and_score_seconds,rss_mb,memory_vectors,memory_bytes,patchcore_scoring_seconds,branch_upper_quantile,image_auroc,image_ap,pixel_auroc,pixel_ap,threshold,threshold_alpha,threshold_calibration_count,threshold_conformal_rank,threshold_is_finite,threshold_min_attainable_alpha,image_f1_conformal,image_f1_normal95,image_precision_conformal,image_recall_conformal,image_specificity_conformal,image_balanced_accuracy_conformal,normal_fpr_conformal,false_alarms_per_1000_normals,test_true_positive,test_false_positive,test_true_negative,test_false_negative,weight,normal_budget,upper_quantile,branch_calibration_fraction,translation_px,brightness,descriptor_channels,condition,translation_dx,translation_dy,border_mode,registration_dx,registration_dy,interior_image_auroc,interior_image_ap,interior_normal_fpr,interior_recall,valid_pixel_fraction,interior_grid_x0,interior_grid_x1,interior_grid_y0,interior_grid_y1,interior_grid_valid_cells,interior_grid_total_cells,interior_equivalent_pixel_x0,interior_equivalent_pixel_x1,interior_equivalent_pixel_y0,interior_equivalent_pixel_y1,normal_budget_requested,normal_budget_achieved,allocation_strategy,priority_target,priority_achieved
threshold_priority,bottle,20260714,freqpatch_lite,12.0,2.0,2.0,,,,256,98304,0.013167625002097338,0.995,0.9936507936507936,0.998080818348845,0.9770928724785924,0.7144643718669006,,0.05,2.0,3.0,False,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,20,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,proportional,,False
threshold_priority,bottle,20260714,patchcore_lite,12.0,2.0,2.0,,,,256,98304,0.013167625002097338,0.995,0.9944444444444444,0.9983368347338936,0.976812618737664,0.7082472859655637,,0.05,2.0,3.0,False,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,20,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,proportional,,False
threshold_priority,bottle,20260715,freqpatch_lite,12.0,2.0,2.0,,,,256,98304,0.01401787500071805,0.995,0.9952380952380951,0.9985443882433589,0.9760762024426175,0.7123939549716825,,0.05,2.0,3.0,False,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,20,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,proportional,,False
threshold_priority,bottle,20260715,patchcore_lite,12.0,2.0,2.0,,,,256,98304,0.01401787500071805,0.995,0.9952380952380951,0.9985443882433589,0.9758878896730291,0.7069446290875882,,0.05,2.0,3.0,False,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,20,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,proportional,,False
threshold_priority,bottle,20260716,freqpatch_lite,12.0,2.0,2.0,,,,256,98304,0.017776542001229245,0.995,0.992063492063492,0.9974136069235119,0.9788322281192727,0.7210118690816578,,0.05,2.0,3.0,False,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,20,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,proportional,,False
threshold_priority,bottle,20260716,patchcore_lite,12.0,2.0,2.0,,,,256,98304,0.017776542001229245,0.995,0.9912698412698412,0.9971301602114937,0.9785456248734771,0.7148167850483181,,0.05,2.0,3.0,False,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,20,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,proportional,,False
threshold_priority,cable,20260714,freqpatch_lite,12.0,2.0,2.0,,,,256,98304,0.030775749997701496,0.995,0.8043478260869567,0.8914103619211577,0.9420166481888067,0.49688100091557164,,0.05,2.0,3.0,False,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,58,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,proportional,,False
threshold_priority,cable,20260714,patchcore_lite,12.0,2.0,2.0,,,,256,98304,0.030775749997701496,0.995,0.8052848575712146,0.8919863828874435,0.9420204358994804,0.4979854965333587,,0.05,2.0,3.0,False,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,58,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,proportional,,False
threshold_priority,cable,20260715,freqpatch_lite,12.0,2.0,2.0,,,,256,98304,0.0427819590040599,0.995,0.7974137931034483,0.8800111886158921,0.9460721873014164,0.5360529169156011,,0.05,2.0,3.0,False,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,58,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,proportional,,False
threshold_priority,cable,20260715,patchcore_lite,12.0,2.0,2.0,,,,256,98304,0.0427819590040599,0.995,0.7962893553223389,0.8791660992933213,0.9460820512230312,0.5383558237136581,,0.05,2.0,3.0,False,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,58,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,proportional,,False
