normal_budget_requested,allocation_strategy,category,normal_budget_achieved,fit_images,branch_calibration_images,threshold_calibration_images,priority_achieved
16.0,proportional,bottle,16.0,12.0,2.0,2.0,False
16.0,proportional,cable,16.0,12.0,2.0,2.0,False
16.0,proportional,capsule,16.0,12.0,2.0,2.0,False
16.0,proportional,carpet,16.0,12.0,2.0,2.0,False
16.0,proportional,grid,16.0,12.0,2.0,2.0,False
16.0,proportional,hazelnut,16.0,12.0,2.0,2.0,False
16.0,proportional,leather,16.0,12.0,2.0,2.0,False
16.0,proportional,metal_nut,16.0,12.0,2.0,2.0,False
16.0,proportional,pill,16.0,12.0,2.0,2.0,False
16.0,proportional,screw,16.0,12.0,2.0,2.0,False
16.0,proportional,tile,16.0,12.0,2.0,2.0,False
16.0,proportional,toothbrush,16.0,12.0,2.0,2.0,False
16.0,proportional,transistor,16.0,12.0,2.0,2.0,False
16.0,proportional,wood,16.0,12.0,2.0,2.0,False
16.0,proportional,zipper,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,bottle,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,cable,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,capsule,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,carpet,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,grid,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,hazelnut,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,leather,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,metal_nut,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,pill,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,screw,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,tile,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,toothbrush,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,transistor,16.0,12.0,2.0,2.0,False
16.0,threshold_prioritized,wood,16.0,12.0,2.0,2.0,False
