method,normal_budget_requested,allocation_strategy,finite_categories,category_seed_rows,image_auroc_mean,image_auroc_ci_low,image_auroc_ci_high,pixel_ap_mean,pixel_ap_ci_low,pixel_ap_ci_high,normal_fpr_conformal_mean,normal_fpr_conformal_ci_low,normal_fpr_conformal_ci_high,image_recall_conformal_mean,image_recall_conformal_ci_low,image_recall_conformal_ci_high
freqpatch_lite,16,proportional,0,45,0.7762530485457172,0.6851498039236811,0.8610633470183789,0.38112623474478213,0.28154587892968164,0.47602466704102253,0.0,0.0,0.0,0.0,0.0,0.0
patchcore_lite,16,proportional,0,45,0.7764035280400433,0.6846177412408389,0.8609775352882035,0.3798489161147132,0.2810400437620013,0.4743582010708939,0.0,0.0,0.0,0.0,0.0,0.0
freqpatch_lite,16,threshold_prioritized,0,45,0.7762530485457172,0.6851498039236811,0.8610633470183789,0.38112623474478213,0.28154587892968164,0.47602466704102253,0.0,0.0,0.0,0.0,0.0,0.0
patchcore_lite,16,threshold_prioritized,0,45,0.7764035280400433,0.6846177412408389,0.8609775352882035,0.3798489161147132,0.2810400437620013,0.4743582010708939,0.0,0.0,0.0,0.0,0.0,0.0
freqpatch_lite,32,proportional,0,45,0.8033415552446219,0.7202266052446749,0.8768680204171647,0.3986011441733223,0.29689423113414654,0.4930557419660398,0.0,0.0,0.0,0.0,0.0,0.0
patchcore_lite,32,proportional,0,45,0.8030744908661609,0.7202290730807165,0.8762682818617344,0.39700282068334625,0.29565126241402917,0.49114359569495847,0.0,0.0,0.0,0.0,0.0,0.0
freqpatch_lite,32,threshold_prioritized,15,45,0.7662393614999664,0.6752395102087239,0.8533913256914936,0.37290341286912526,0.27503748367135394,0.4663418608172167,0.0701939684506785,0.04459004684790763,0.09932949041040308,0.4760898840798487,0.31930682368160973,0.6347029310687066
patchcore_lite,32,threshold_prioritized,15,45,0.7660726737625694,0.6749917032803217,0.853262656429594,0.37193851070309353,0.27447224127523545,0.4645245181051189,0.0676263046330147,0.04271483015708845,0.09647225195365187,0.47472211504894074,0.3199080192330095,0.6309878031917258
freqpatch_lite,64,proportional,0,45,0.8387324076405064,0.751601827325924,0.9127979959395465,0.43739650356875853,0.33132193581142944,0.535305992415106,0.0,0.0,0.0,0.0,0.0,0.0
patchcore_lite,64,proportional,0,45,0.838816240407416,0.7517524268272127,0.9124530071082934,0.43640240460838214,0.330741149547691,0.5342459312772643,0.0,0.0,0.0,0.0,0.0,0.0
freqpatch_lite,64,threshold_prioritized,15,45,0.8304345216356378,0.7420292530500583,0.9041977166650618,0.4243988737346414,0.3194608083467765,0.5213457677589975,0.07176345353512145,0.043071964126532324,0.10310362415184299,0.5515478949688382,0.3953103266043887,0.7008480834895897
patchcore_lite,64,threshold_prioritized,15,45,0.8305663054362142,0.7423051014399892,0.9042016753789968,0.42334249991133716,0.3187078947132178,0.5197895533380619,0.0686153053869733,0.04159374009005084,0.0979016041314675,0.5494170111013662,0.3960957501339615,0.6960647138745099
freqpatch_lite,128,proportional,14,45,0.867434744323916,0.7884209026471191,0.9337545034898693,0.45648050610456165,0.3483044571175996,0.5567939526328869,0.0633941579792491,0.036763015097126005,0.09451052242831523,0.5620705164251334,0.38287026927732226,0.7299821516041639
patchcore_lite,128,proportional,14,45,0.8675698746844354,0.7885277441742575,0.9336598693647171,0.45551798049301584,0.3488923571697255,0.5551172481230268,0.06682889761368495,0.041459463382052315,0.0951205151242127,0.5609078062025006,0.3844324573587951,0.7263943332157182
freqpatch_lite,128,threshold_prioritized,15,45,0.8617557319782368,0.7831557039313476,0.9281968336340555,0.4558441703425818,0.3476681213556198,0.5565646635843413,0.07080156538665651,0.04410003504161979,0.10102418772941854,0.6005890349436519,0.4387131712245171,0.749244333559612
patchcore_lite,128,threshold_prioritized,15,45,0.8618908623387563,0.783392194482344,0.9282853354963635,0.4547104192738262,0.34749550208182123,0.5548341105895834,0.07423630502109234,0.04943808722464516,0.10178384891438229,0.5994263247210191,0.43957597998486375,0.7464079900488856
