normal_budget,category,fit_images,branch_calibration_images,threshold_calibration_images
16.0,bottle,12.0,2.0,2.0
16.0,cable,12.0,2.0,2.0
16.0,capsule,12.0,2.0,2.0
16.0,carpet,12.0,2.0,2.0
16.0,grid,12.0,2.0,2.0
16.0,hazelnut,12.0,2.0,2.0
16.0,leather,12.0,2.0,2.0
16.0,metal_nut,12.0,2.0,2.0
16.0,pill,12.0,2.0,2.0
16.0,screw,12.0,2.0,2.0
16.0,tile,12.0,2.0,2.0
16.0,toothbrush,12.0,2.0,2.0
16.0,transistor,12.0,2.0,2.0
16.0,wood,12.0,2.0,2.0
16.0,zipper,12.0,2.0,2.0
32.0,bottle,22.0,5.0,5.0
32.0,cable,22.0,5.0,5.0
32.0,capsule,22.0,5.0,5.0
32.0,carpet,22.0,5.0,5.0
32.0,grid,22.0,5.0,5.0
32.0,hazelnut,22.0,5.0,5.0
32.0,leather,22.0,5.0,5.0
32.0,metal_nut,22.0,5.0,5.0
32.0,pill,22.0,5.0,5.0
32.0,screw,22.0,5.0,5.0
32.0,tile,22.0,5.0,5.0
32.0,toothbrush,22.0,5.0,5.0
32.0,transistor,22.0,5.0,5.0
32.0,wood,22.0,5.0,5.0
32.0,zipper,22.0,5.0,5.0
64.0,bottle,44.0,10.0,10.0
64.0,cable,44.0,10.0,10.0
64.0,capsule,44.0,10.0,10.0
64.0,carpet,44.0,10.0,10.0
64.0,grid,44.0,10.0,10.0
64.0,hazelnut,44.0,10.0,10.0
64.0,leather,44.0,10.0,10.0
64.0,metal_nut,44.0,10.0,10.0
64.0,pill,44.0,10.0,10.0
64.0,screw,44.0,10.0,10.0
64.0,tile,44.0,10.0,10.0
64.0,toothbrush,42.0,9.0,9.0
64.0,transistor,44.0,10.0,10.0
64.0,wood,44.0,10.0,10.0
64.0,zipper,44.0,10.0,10.0
128.0,bottle,90.0,19.0,19.0
128.0,cable,90.0,19.0,19.0
128.0,capsule,90.0,19.0,19.0
128.0,carpet,90.0,19.0,19.0
128.0,grid,90.0,19.0,19.0
128.0,hazelnut,90.0,19.0,19.0
128.0,leather,90.0,19.0,19.0
128.0,metal_nut,90.0,19.0,19.0
128.0,pill,90.0,19.0,19.0
128.0,screw,90.0,19.0,19.0
128.0,tile,90.0,19.0,19.0
128.0,toothbrush,42.0,9.0,9.0
128.0,transistor,90.0,19.0,19.0
128.0,wood,90.0,19.0,19.0
128.0,zipper,90.0,19.0,19.0
